#alt(cm),CH+(cm-3)
1.39E+07,0.000312685
1.40E+07,0.000420985
1.42E+07,0.000684883
1.45E+07,0.001
1.48E+07,0.001541228
1.54E+07,0.003198102
1.58E+07,0.005064085
1.62E+07,0.006286869
1.65E+07,0.008238559
1.71E+07,0.013770295
1.75E+07,0.01853966
1.79E+07,0.030988014
1.83E+07,0.040607903
1.85E+07,0.050413173
1.94E+07,0.071645004
1.99E+07,0.084262824
2.04E+07,0.091382084
2.13E+07,0.104609101
2.19E+07,0.113447393
2.24E+07,0.113447393
2.33E+07,0.104609101
2.40E+07,0.093886411
2.46E+07,0.086572048
2.53E+07,0.075625677
2.60E+07,0.064301215
2.66E+07,0.053214183
2.73E+07,0.045245699
2.79E+07,0.037444283
2.85E+07,0.030988014
2.91E+07,0.025644956
2.97E+07,0.022402348
3.04E+07,0.019569743
3.11E+07,0.01853966
3.18E+07,0.018045133
3.24E+07,0.017095299
3.32E+07,0.016639299
3.39E+07,0.016195462
3.47E+07,0.015763464
3.54E+07,0.015763464
3.61E+07,0.015342989
3.69E+07,0.01493373
3.76E+07,0.014535388
3.82E+07,0.014535388
3.90E+07,0.01414767
3.97E+07,0.013770295
4.00E+07,0.013770295