#alt[cm],H+[cm^-3]
8188100,7.78645E-08
8209400,7.95933E-08
8291690,8.66409E-08
8401310,9.70068E-08
8406970,9.75752E-08
8593120,1.18218E-07
8632710,1.23143E-07
8653280,1.25782E-07
8702860,1.32379E-07
8715180,1.34071E-07
8770100,1.41881E-07
8785130,1.44096E-07
8825050,1.5015E-07
8840080,1.52495E-07
8844810,1.5324E-07
8880000,1.58902E-07
8895030,1.61383E-07
8934950,1.68163E-07
8962550,1.73017E-07
8977320,1.75672E-07
9004900,1.80738E-07
9009100,1.81522E-07
9017500,1.83101E-07
9045070,1.8838E-07
9059840,1.91272E-07
9072670,1.93818E-07
9087440,1.96792E-07
9100270,1.99412E-07
9118690,2.03234E-07
9127870,2.05168E-07
9142390,2.08262E-07
9169990,2.14273E-07
9182820,2.17125E-07
9210420,2.23392E-07
9238020,2.2984E-07
9252640,2.33331E-07
9280240,2.40066E-07
9307840,2.46995E-07
9310420,2.47653E-07
9320820,2.50322E-07
9335440,2.54124E-07
9348420,2.57547E-07
9363040,2.61459E-07
9376020,2.6498E-07
9376270,2.65049E-07
9390620,2.68998E-07
9392690,2.69574E-07
9403870,2.727E-07
9418220,2.76762E-07
9431470,2.8057E-07
9445820,2.8475E-07
9459070,2.88669E-07
9486680,2.97E-07
9500770,3.01346E-07
9514280,3.05573E-07
9528370,3.10044E-07
9529610,3.10441E-07
9541880,3.14393E-07
9555970,3.18993E-07
9569480,3.23467E-07
9569730,3.23551E-07
9583570,3.282E-07
9597330,3.3289E-07
9611170,3.37673E-07
9624930,3.42498E-07
9639120,3.47546E-07
9652530,3.52384E-07
9680130,3.62555E-07
9693770,3.67687E-07
9707730,3.73019E-07
9721370,3.783E-07
9735330,3.83785E-07
9762930,3.94863E-07
9763180,3.94966E-07
9790780,4.06366E-07
9804040,4.11957E-07
9818360,4.18084E-07
9830630,4.23406E-07
9845960,4.30151E-07
9858990,4.35967E-07
9873560,4.42566E-07
9886590,4.48551E-07
9928510,4.6836E-07
9941510,4.74681E-07
9956110,4.81879E-07
9983710,4.95787E-07
9994640,5.01405E-07
9996460,5.02347E-07
10011300,5.10097E-07
10038900,5.2482E-07
10051400,5.31626E-07
10066500,5.39968E-07
10106300,5.62596E-07
10121500,5.71439E-07
10149100,5.87932E-07
10161400,5.95432E-07
10185900,6.10688E-07
10204000,6.22199E-07
10231600,6.40158E-07
10243600,6.48137E-07
10286500,6.7745E-07
10314100,6.97004E-07
10353200,7.25644E-07
10369100,7.37627E-07
10377100,7.4377E-07
10424000,7.80618E-07
10435500,7.89937E-07
10437600,7.91628E-07
10451600,8.03149E-07
10493000,8.3816E-07
10506600,8.49959E-07
10513700,8.56189E-07
10517800,8.59859E-07
10534200,8.74492E-07
10548000,8.87011E-07
10589100,9.25436E-07
10602900,9.38684E-07
10622800,9.58175E-07
10657800,9.93394E-07
10671400,1.00738E-06
10682200,1.01869E-06
10683700,1.02028E-06
10685400,1.02207E-06
10726300,1.06609E-06
10740400,1.08164E-06
10759300,1.10297E-06
10781300,1.12823E-06
10793800,1.14286E-06
10795300,1.14468E-06
10822900,1.17772E-06
10848700,1.20943E-06
10863600,1.22809E-06
10873800,1.24117E-06
10903700,1.27992E-06
10905200,1.28196E-06
10923200,1.30599E-06
10945800,1.33683E-06
10958600,1.35452E-06
10960100,1.35668E-06
11013500,1.43347E-06
11015100,1.43575E-06
11028100,1.45516E-06
11038100,1.47019E-06
11039300,1.472E-06
11059700,1.50339E-06
11068500,1.51697E-06
11070000,1.51943E-06
11110400,1.58401E-06
11121700,1.60263E-06
11123400,1.60539E-06
11125000,1.60795E-06
11176700,1.69599E-06
11196200,1.73057E-06
11205700,1.74754E-06
11207300,1.75032E-06
11220000,1.77353E-06
11229700,1.79128E-06
11259000,1.84616E-06
11262200,1.85233E-06
11288000,1.90222E-06
11329600,1.98571E-06
11344500,2.0163E-06
11360100,2.04911E-06
11368600,2.06704E-06
11370300,2.07065E-06
11426800,2.19483E-06
11466600,2.28686E-06
11475900,2.30886E-06
11479900,2.31839E-06
11509000,2.3891E-06
11524000,2.42628E-06
11591300,2.60065E-06
11603500,2.63361E-06
11615700,2.66686E-06
11673600,2.83085E-06
11715300,2.9551E-06
11749400,3.06084E-06
11752700,3.07131E-06
11755900,3.0815E-06
11767800,3.11967E-06
11807600,3.25023E-06
11809200,3.25566E-06
11838200,3.35435E-06
11889900,3.53802E-06
11891500,3.54384E-06
11893100,3.54976E-06
11904800,3.59279E-06
11933900,3.70209E-06
11944800,3.74423E-06
11946400,3.75039E-06
11975400,3.86407E-06
11995600,3.94523E-06
12014400,4.02264E-06
12028700,4.08246E-06
12030400,4.08928E-06
12054500,4.1922E-06
12083700,4.32029E-06
12105800,4.42013E-06
12112600,4.45125E-06
12124000,4.50392E-06
12152500,4.63815E-06
12166000,4.70283E-06
12167600,4.71068E-06
12206300,4.90271E-06
12214500,4.94406E-06
12220900,4.97692E-06
12222500,4.98524E-06
12275800,5.26699E-06
12277500,5.27579E-06
12288600,5.33668E-06
12329200,5.56467E-06
12330800,5.57382E-06
12332400,5.58314E-06
12370900,5.80922E-06
12371100,5.81073E-06
12384100,5.889E-06
12385700,5.89868E-06
12387300,5.90854E-06
12433400,6.19593E-06
12439100,6.23223E-06
12440700,6.24248E-06
12442300,6.25291E-06
12494000,6.59546E-06
12497200,6.61735E-06
12522900,6.79504E-06
12552200,7.00302E-06
12562600,7.07831E-06
12590400,7.2847E-06
12597700,7.33944E-06
12603600,7.38456E-06
12605200,7.3967E-06
12607100,7.41099E-06
12662000,7.84293E-06
12672700,7.92952E-06
12717000,8.30004E-06
12755000,8.63163E-06
12771900,8.78379E-06
12808600,9.12209E-06
12825200,9.27926E-06
12837300,9.39591E-06
12851000,9.52943E-06
12854200,9.56154E-06
12880100,9.82009E-06
12905900,1.00848E-05
12909200,1.01186E-05
12919600,1.02276E-05
12926700,1.03028E-05
12962400,1.06893E-05
12964100,1.07083E-05
12981600,1.0903E-05
12988200,1.09778E-05
13001900,1.11332E-05
13008300,1.12075E-05
13017300,1.13123E-05
13019100,1.13324E-05
13063900,1.18684E-05
13070500,1.19495E-05
13082000,1.20921E-05
13099600,1.2314E-05
13101400,1.23358E-05
13111500,1.24652E-05
13172500,1.32745E-05
13173500,1.32884E-05
13180100,1.33792E-05
13181900,1.3404E-05
13183600,1.34278E-05
13193700,1.35686E-05
13232100,1.41154E-05
13238600,1.42104E-05
13264200,1.45908E-05
13303400,1.51919E-05
13309300,1.52857E-05
13320800,1.54682E-05
13328100,1.5584E-05
13346500,1.58823E-05
13430500,1.73193E-05
13440300,1.74959E-05
13448000,1.76352E-05
13451600,1.76997E-05
13456100,1.77825E-05
13500800,1.86217E-05
13509300,1.87846E-05
13540100,1.93914E-05
13557600,1.97451E-05
13565700,1.99106E-05
13601500,2.06586E-05
13604600,2.07255E-05
13622400,2.11079E-05
13639900,2.14929E-05
13646200,2.16329E-05
13671000,2.21941E-05
13675300,2.22927E-05
13732000,2.36333E-05
13749500,2.40643E-05
13768900,2.45499E-05
13783200,2.49137E-05
13785000,2.49599E-05
13829000,2.61193E-05
13847500,2.66228E-05
13859200,2.69441E-05
13868900,2.72174E-05
13920100,2.86913E-05
13949200,2.95656E-05
13978600,3.04738E-05
13987800,3.07661E-05
13996100,3.10296E-05
14084400,3.39865E-05
14093500,3.43089E-05
14102400,3.46244E-05
14142900,3.60989E-05
14192000,3.79744E-05
14206700,3.85552E-05
14303300,4.25921E-05
14307200,4.27613E-05
14325200,4.35639E-05
14339500,4.42129E-05
14348500,4.4623E-05
14466200,5.03792E-05
14471400,5.06519E-05
14480300,5.11164E-05
14489500,5.16053E-05
14558200,5.53919E-05
14594500,5.75058E-05
14626500,5.94301E-05
14661100,6.15904E-05
14663000,6.17142E-05
14753800,6.77646E-05
14763400,6.84431E-05
14804200,7.13839E-05
14840500,7.41061E-05
14849700,7.48091E-05
14852700,7.50416E-05
14882000,7.73426E-05
14927700,8.10749E-05
15022900,8.9433E-05
15027200,8.98328E-05
15086500,9.54984E-05
15092000,9.60354E-05
15099000,9.67317E-05
15100900,9.69262E-05
15179100,0.000105058
15268900,0.00011525
15273300,0.000115774
15287800,0.000117526
15319800,0.000121465
15332500,0.000123069
15345200,0.000124685
15452600,0.000139289
15487500,0.00014439
15536800,0.000151912
15538800,0.000152221
15546700,0.000153473
15551200,0.000154187
15698800,0.000179536
15733500,0.000186071
15749100,0.00018909
15780700,0.000195336
15785000,0.000196204
15792700,0.000197786
15797200,0.000198701
15810300,0.000201404
15945000,0.000231411
15952200,0.000233119
15968100,0.000236969
16031200,0.000252908
16038800,0.000254895
16043200,0.000256067
16056600,0.000259604
16159600,0.000288715
16198200,0.000300422
16218600,0.000306796
16277400,0.000325992
16284800,0.000328484
16289300,0.000329995
16300800,0.000333935
16302800,0.000334615
16378600,0.000361838
16444200,0.000387145
16530800,0.000423297
16535300,0.000425255
16549000,0.000431309
16551000,0.000432199
16570200,0.000440863
16690200,0.000498902
16776800,0.000545504
16781300,0.000548028
16789100,0.000552448
16797200,0.000557108
16822500,0.000571814
16902900,0.000621212
16936200,0.000642937
17022800,0.000702976
17027300,0.000706247
17043400,0.000718059
17182200,0.000828556
17268800,0.000905928
17273400,0.000910167
17289700,0.000925584
17428300,0.00106779
17476800,0.00112251
17487500,0.00113499
17519400,0.001173
17559600,0.0012226
17563200,0.0012271
17664800,0.00136268
17701700,0.00141549
17706100,0.00142193
17750200,0.0014881
17792800,0.00155487
17809400,0.00158166
17883700,0.00170762
17947800,0.00182425
17952100,0.00183245
18023800,0.00197287
18038900,0.00200383
18110300,0.00215704
18130000,0.0022012
18198100,0.00236142
18216300,0.00240612
18221200,0.00241833
18269900,0.00254277
18284900,0.00258234
18356500,0.00278029
18376200,0.00283729
18416800,0.00295858
18494700,0.00320596
18530900,0.00332787
18543400,0.00337094
18595100,0.00355561
18602800,0.00358373
18662800,0.00381263
18749500,0.0041692
18768200,0.00425001
18816900,0.00446906
18841300,0.00458297
18849000,0.00461933
18873100,0.00473534
18908800,0.00491323
18928800,0.00501538
18968200,0.00522337
19041600,0.00563406
19122600,0.00612445
19154800,0.00633153
19175000,0.00646452
19214200,0.00673121
19315100,0.00746884
19368800,0.00789405
19400800,0.00815948
19432800,0.00843273
19448500,0.0085702
19557100,0.00958555
19561100,0.00962563
19615000,0.0101752
19619500,0.0102226
19651500,0.0105649
19694700,0.0110468
19799000,0.0123005
19834600,0.0127603
19838100,0.012807
19861200,0.0131156
19870100,0.0132359
19910900,0.0138046
19968200,0.0146454
20045200,0.0158551
20080700,0.0164451
20084100,0.016504
20088700,0.0165821
20107400,0.0169057
20184400,0.0183006
20214400,0.018877
20241100,0.0194036
20302800,0.0206775
20307400,0.0207748
20318800,0.0210211
20354100,0.0218
20381000,0.0224129
20457900,0.0242623
20488000,0.0250271
20498600,0.0253027
20548800,0.0266465
20565000,0.0270957
20627200,0.0288896
20627500,0.0288987
20717300,0.0317004
20731400,0.0321643
20734100,0.0322567
20767400,0.0333831
20811200,0.0349256
20873400,0.037238
20873600,0.0372428
20925100,0.039277
20935900,0.0397137
20977500,0.0414557
20980400,0.0415781
20986100,0.0418239
21057400,0.0450159
21154500,0.0497539
21204700,0.0523975
21251000,0.0549576
21253900,0.0551226
21256400,0.055268
21283600,0.0568395
21373100,0.062334
21450700,0.0675232
21500100,0.0710498
21502700,0.071239
21529700,0.0732493
21591800,0.0780928
21669400,0.0845961
21748900,0.0918276
21773700,0.0942
21775700,0.0943968
21810400,0.0978358
21868800,0.103909
21915300,0.109014
21987700,0.117462
21995200,0.118366
22019800,0.121415
22021700,0.121653
22029000,0.12257
22128900,0.135867
22134000,0.136577
22214100,0.148334
22234000,0.151406
22247600,0.153557
22267700,0.15677
22320700,0.16557
22325200,0.166345
22389500,0.177733
22460300,0.191452
22466300,0.192655
22480200,0.195489
22499100,0.199399
22513800,0.201871
22536500,0.205759
22543900,0.207044
22566900,0.211086
22621400,0.220966
22636100,0.223705
22679200,0.229029
22685000,0.229743
22726500,0.234997
22758500,0.239129
22759800,0.239297
22789900,0.243253
22800300,0.244641
22810000,0.246951
22903600,0.27057
22925500,0.276406
22972700,0.289429
22978400,0.291047
22981100,0.291824
23004700,0.298597
23017400,0.302326
23083400,0.322443
23086400,0.323375
23144400,0.342188
23149600,0.343923
23218900,0.367977
23224400,0.369971
23227100,0.37094
23278100,0.389866
23356900,0.421
23368200,0.425669
23373500,0.42787
23390600,0.435077
23403100,0.440401
23414700,0.443574
23418400,0.444609
23470400,0.459244
23551600,0.48305
23565100,0.48712
23567400,0.487811
23586900,0.493753
23630400,0.507314
23636900,0.509363
23637000,0.509411
23689100,0.526187
23729400,0.539551
23731700,0.540325
23797800,0.557262
23805500,0.559273
23879600,0.57896
23923300,0.590892
23935100,0.595243
23948300,0.600174
23965200,0.606491
23992300,0.616804
24051500,0.639972
24071200,0.647879
24087600,0.654502
24140000,0.666036
24153700,0.669101
24210900,0.681985
24238700,0.688345
24270200,0.695604
24279100,0.697691
24313000,0.707415
24344700,0.716637
24358900,0.720789
24399700,0.73293
24402200,0.733658
24484900,0.75888
24516200,0.768645
24559200,0.782263
24590800,0.792444
24618400,0.801423
24620800,0.802219
24672600,0.819373
24696800,0.82751
24717100,0.83439
24734800,0.83825
24758400,0.843394
24769400,0.8458
24812100,0.85522
24832600,0.859785
24953500,0.887181
24963300,0.889449
24970200,0.890503
24973600,0.891031
25015600,0.897487
25031900,0.900011
25058000,0.904072
25106100,0.911575
25216200,0.929025
25226800,0.930722
25276700,0.93874
25305400,0.943387
25352100,0.951012
25383500,0.956157
25468000,0.97016
25472900,0.97098
25483100,0.972689
25489600,0.973351
25535300,0.97798
25578800,0.982408
25598300,0.984394
25686600,0.993463
25691500,0.993969
25729300,0.997872
25735700,0.998171
25824900,1.00234
25932600,1.0074
25937500,1.00763
25981800,1.00972
25985200,1.00988
26002800,1.01071
26098400,1.01071
26109700,1.01071
26121700,1.01071
26151200,1.01071
26183600,1.01071
26276200,1.01071
26344400,1.01071
26367900,1.01071
26369900,1.01071
26422500,1.01071
26456900,1.01071
26467700,1.01071
26574500,1.00567
26609800,1.00402
26615900,1.00373
26617800,1.00364
26641100,1.00255
26703000,0.999652
26741100,0.997872
26805100,0.991672
26834500,0.988837
26855800,0.986791
26859800,0.986409
26863900,0.986013
26938400,0.978883
26949000,0.977871
27101800,0.96343
27105800,0.963053
27107900,0.962859
27137300,0.960111
27148700,0.95904
27184400,0.95571
27195000,0.954724
27326600,0.942574
27347800,0.940625
27351900,0.940255
27383300,0.93738
27397300,0.936101
27403100,0.935074
27406500,0.934459
27441100,0.928298
27543400,0.910307
27572600,0.905247
27597900,0.900874
27613400,0.898197
27621200,0.896864
27629300,0.895472
27649100,0.892095
27714500,0.881006
27789500,0.868462
27818600,0.863631
27867300,0.855637
27867700,0.855562
27871300,0.854979
27875400,0.854313
27960500,0.840512
27998700,0.83439
28035500,0.829624
28064600,0.825865
28113800,0.819564
28117300,0.819118
28121400,0.818595
28132800,0.817135
28206600,0.807802
28244800,0.803004
28281500,0.795379
28336000,0.78421
28338000,0.783787
28367400,0.777835
28378900,0.775518
28480000,0.755418
28490800,0.753296
28554900,0.743328
28584100,0.738833
28609400,0.734963
28613400,0.734345
28652200,0.728444
28726000,0.717363
28736800,0.715755
28796500,0.706926
28800900,0.706284
28830100,0.702008
28832100,0.701728
28855400,0.698332
28870900,0.696089
28937400,0.686535
28972100,0.681608
28982800,0.680084
28988300,0.679312
29015200,0.67553
29047000,0.671081
29078100,0.66676
29101400,0.663529
29103600,0.663236
29116900,0.661401
29206900,0.649139
29228900,0.646191
29233800,0.64531
29245400,0.643248
29293000,0.634892
29296700,0.634239
29335600,0.627496
29347500,0.625443
29377000,0.620389
29452900,0.607564
29479800,0.603087
29491500,0.601156
29539000,0.593351
29570100,0.588298
29593500,0.58452
29623000,0.579793
29693500,0.568665
29699000,0.568504
29725800,0.567711
29730200,0.567583
29737500,0.567366
29812400,0.565164
29816100,0.565055
29839600,0.564368
29896500,0.562703
29937000,0.56152
29939600,0.561444
29945000,0.561092
29971900,0.55933
30011000,0.556781
30058500,0.553698
30062100,0.553461
30113000,0.550182
30142500,0.548285
30191000,0.545187
30284400,0.539272
30308200,0.537773
30331900,0.536286
30359100,0.534586
30416000,0.531043
30486400,0.526689
30495700,0.526689
30530500,0.526689
30578000,0.526689
30581600,0.526689
30632500,0.526689
30662000,0.526689
30759900,0.526689
30784600,0.526689
30803900,0.526689
30827700,0.526689
30878600,0.526689
30935500,0.526689
30983500,0.526689
31033400,0.526689
31058000,0.526689
31077300,0.526689
31101100,0.526689
31152000,0.526689
31202600,0.526689
31208900,0.526689
31256900,0.526689
31306800,0.526689
31316000,0.526689
31323400,0.526689
31331500,0.526689
31374600,0.526689
31455000,0.526689
31476100,0.526689
31530400,0.526689
31580300,0.526689
31596900,0.526689
31605000,0.526689
31620600,0.526689
31671700,0.526689
31728400,0.526689
31749500,0.526689
31803900,0.526689
31853800,0.526689
31870300,0.526606
31878500,0.526565
31894100,0.526486
31974500,0.526083
32023000,0.52584
32049900,0.525704
32116400,0.525371
32167500,0.525115
32247900,0.524713
32296400,0.52447
32323400,0.524335
32389900,0.524003
32413600,0.523884
32521400,0.523346
32542600,0.52324
32663300,0.522638
32687100,0.52252
32794800,0.521983
32819900,0.521858
32936800,0.521277
32960500,0.521159
33040900,0.520759
33182900,0.520055
33193800,0.52
33206600,0.52
33314300,0.52
33355100,0.52
33389800,0.52
33456300,0.52
33467300,0.52
33480000,0.52
33587800,0.52
33609000,0.52
33628600,0.52
33663300,0.52
33729700,0.52
33740700,0.52
33753500,0.52
33861200,0.52
33882400,0.52
33902100,0.52
33936700,0.52
34003200,0.52
34014200,0.52
34026900,0.52
34093500,0.52
34107300,0.52
34128500,0.52
34159800,0.52
34210200,0.52
34249300,0.52
34273000,0.52
34287700,0.52
34367000,0.52
34380700,0.52
34402000,0.52
34483600,0.52
34522700,0.52
34546500,0.52
34561100,0.52
34640400,0.519215
34654200,0.519078
34675400,0.518868
34729700,0.518331
34796200,0.517674
34819900,0.51744
34900300,0.516647
34948900,0.516169
35069600,0.514981
35093300,0.514748
35173700,0.51396
35339400,0.512338
35343100,0.512302
35447200,0.511286
35612900,0.509672
35616500,0.509636
35720600,0.508626
35862600,0.50725
35886300,0.50702
35901100,0.506877
35909800,0.506877
35966700,0.506877
36015300,0.506877
36101500,0.506877
36136100,0.506877
36159800,0.506877
36174600,0.506877
36226500,0.506877
36240200,0.506877
36261400,0.506877
36405900,0.506877
36409500,0.506877
36448100,0.506877
36500000,0.506877
36513600,0.506877
36534900,0.506877
36679300,0.506877
36683000,0.506877
36721500,0.506877
36773500,0.506877
36787100,0.506877
36808300,0.506877
36952800,0.506877
36956500,0.506877
36995000,0.506877
37033100,0.506877
37046900,0.506877
37081800,0.506877
37167700,0.506877
37226200,0.506877
37229900,0.506877
37268500,0.506877
37306600,0.506555
37320400,0.506439
37355300,0.506144
37468500,0.505188
37476000,0.505125
37499700,0.504925
37580000,0.504248
37745800,0.502855
37749500,0.502824
37853500,0.501952
38019200,0.500565
38022900,0.500535
38099600,0.499895
38292700,0.498286
38296400,0.498255
38373000,0.497618
38566100,0.496017
38569900,0.495986
38585800,0.495854
38646500,0.495352
38797100,0.494108
38799900,0.494085
38815900,0.494085
38839600,0.494085
38859300,0.494085
38919900,0.494085
39070600,0.494085
39073400,0.494085
39089400,0.494456
39105400,0.494825
39113000,0.495002
39344000,0.500375
39346900,0.500441
39351500,0.500441
39359100,0.500441
39362900,0.500441
39617500,0.500441
39620300,0.500441
39624900,0.500441
39632600,0.500441
39636300,0.500441
39890900,0.500441
39893800,0.500441
39898400,0.500441
39904400,0.500441
39906000,0.500441
39909800,0.500441
39929600,0.500441
39929700,0.500441
39929800,0.500441
39952700,0.500441
