#alt(cm),H3+(cm-3)
1.95E+07,0.000312685
1.97E+07,0.000420985
1.98E+07,0.000598285
1.99E+07,0.000763103
2.01E+07,0.001084489
2.02E+07,0.001460103
2.03E+07,0.001965812
2.04E+07,0.002646675
2.06E+07,0.003661009
2.07E+07,0.00466956
2.09E+07,0.006818039
2.10E+07,0.008934625
2.12E+07,0.012029147
2.14E+07,0.016195462
2.17E+07,0.020657059
2.20E+07,0.028573845
2.24E+07,0.036445494
2.28E+07,0.044038814
2.33E+07,0.050413173
2.40E+07,0.051794747
2.46E+07,0.050413173
2.52E+07,0.045245699
2.58E+07,0.040607903
2.64E+07,0.035473346
2.69E+07,0.030161439
2.74E+07,0.025644956
2.79E+07,0.022402348
2.85E+07,0.01853966
2.90E+07,0.015763464
2.95E+07,0.012697499
3.01E+07,0.011395974
3.06E+07,0.010508154
3.13E+07,0.010227859
3.19E+07,0.009955041
3.25E+07,0.0096895
3.32E+07,0.009431042
3.38E+07,0.009431042
3.44E+07,0.009179478
3.50E+07,0.008934625
3.56E+07,0.008934625
3.63E+07,0.008934625
3.69E+07,0.008696302
3.75E+07,0.008696302
3.82E+07,0.008464337
3.88E+07,0.008464337
3.94E+07,0.008238559
4.00E+07,0.008464337