#alt(cm),Tn(K),O2+(K),e(K)
13000000,140.5861856,202.3876846,558.3339738
13457627.12,142.9271803,223.2688334,596.7108993
13915254.24,153.2965187,244.1499821,628.702946
14372881.36,166.9288406,265.0311308,665.9817175
14830508.47,177.5722067,279.0502142,734.9361891
15288135.59,184.979273,290.7217715,826.5290452
15745762.71,189.6143386,300.8664643,793.0477594
16203389.83,193.3465136,311.3106227,743.3600571
16661016.95,195.5601976,318.7194151,721.3314996
17118644.07,197.3198492,325.1955257,714.0933728
17576271.19,198.3443744,331.3984843,722.8019048
18033898.31,198.6913081,337.416811,744.7487568
18491525.42,198.5560952,342.7468872,789.6848112
18949152.54,198.3856579,347.6538426,836.1980864
19406779.66,198.35,352.9611543,884.5366883
19864406.78,198.3718019,359.1338991,934.6856193
20322033.9,198.4150919,367.4744158,989.5750893
20779661.02,198.4350006,387.2834791,1061.949494
21237288.14,198.44,428.0998376,1165.674372
21694915.25,198.4305838,462.7773807,1285.012467
22152542.37,198.42,478.4636194,1386.758078
22610169.49,198.41,480.161099,1459.493972
23067796.61,198.4159642,481.8759966,1467.521492
23525423.73,198.42,483.6866526,1545.274522
23983050.85,198.42,485.4973086,1660.923809
24440677.97,198.42,492.8022513,1778.168523
24898305.08,198.42,502.1177149,1906.817178
25355932.2,198.42,506.8830586,2007.753731
25813559.32,198.42,513.8330356,2073.800687
26271186.44,198.42,522.367079,2065.980343
26728813.56,198.42,533.459179,2094.724673
27186440.68,198.42,545.7255201,2120.611559
27644067.8,198.42,561.2387832,2204.014507
28101694.92,198.42,567.7920248,2267.292228
28559322.03,198.42,563.271144,2280.930395
29016949.15,198.42,554.4616538,2329.357605
29474576.27,198.42,563.5960532,2344.37349
29932203.39,198.42,573.1239001,2329.30782
30389830.51,198.42,575.298764,2338.794271
30847457.63,198.42,571.8084519,2275.112387
31305084.75,198.42,557.8339143,2235.183844
31762711.86,198.42,558.7868415,2257.56945
32220338.98,198.42,560.1783379,2397.104429
32677966.1,198.42,568.3007636,2499.245109
33135593.22,198.42,573.9972422,2528.396502
33593220.34,198.42,563.8203587,2525.194146
34050847.46,198.42,548.1484306,2503.609921
34508474.58,198.42,557.0881414,2482.580996
34966101.69,198.42,568.0625366,2518.073442
35423728.81,198.42,565.0587367,2533.437372
35881355.93,198.42,561.9780217,2481.011029
36338983.05,198.42,570.4769377,2501.163515
36796610.17,198.42,568.0661059,2514.29294
37254237.29,198.42,569.3877102,2541.692755
37711864.41,198.42,585.6917555,2588.410122
38169491.53,198.42,611.6512953,2541.624304
38627118.64,198.42,617.5758822,2548.794457
39084745.76,198.42,614.6084165,2659.311459
39542372.88,198.42,611.7547539,2696.943704
40000000,198.42,619.5936818,2686.845618