#alt(cm),N2H+(cm-3)
1.36E+07,0.000312685
1.39E+07,0.000432522
1.40E+07,0.000598285
1.42E+07,0.000827577
1.46E+07,0.001421156
1.49E+07,0.001913376
1.51E+07,0.002576077
1.53E+07,0.003375792
1.55E+07,0.004545004
1.57E+07,0.006119173
1.59E+07,0.008018804
1.61E+07,0.01079613
1.63E+07,0.014535388
1.66E+07,0.01904774
1.68E+07,0.025644956
1.70E+07,0.034527129
1.73E+07,0.046485658
1.75E+07,0.060916622
1.77E+07,0.079827521
1.79E+07,0.107475916
1.82E+07,0.144700379
1.84E+07,0.189621028
1.86E+07,0.262292995
1.89E+07,0.33455062
1.90E+07,0.450422786
1.93E+07,0.606427469
1.95E+07,0.794686243
1.98E+07,1.069927148
1.99E+07,1.440498201
2.02E+07,1.939417155
2.04E+07,2.541487995
2.08E+07,3.330465141
2.11E+07,4.247956288
2.16E+07,5.133006568
2.22E+07,5.719243034
2.28E+07,5.719243034
2.35E+07,5.27367671
2.41E+07,4.996088663
2.47E+07,4.483977298
2.53E+07,4.134646229
2.59E+07,3.71083483
2.65E+07,3.421736601
2.70E+07,3.15516101
2.77E+07,2.831749252
2.83E+07,2.611137522
2.89E+07,2.343489509
2.95E+07,2.160916396
3.01E+07,1.992566919
3.07E+07,1.887685109
3.19E+07,1.788323913
3.25E+07,1.740622131
3.32E+07,1.694192746
3.38E+07,1.64900182
3.44E+07,1.64900182
3.50E+07,1.562204085
3.56E+07,1.562204085
3.63E+07,1.520533827
3.69E+07,1.520533827
3.75E+07,1.440498201
3.81E+07,1.440498201
3.88E+07,1.402074327
3.94E+07,1.402074327
4.00E+07,1.364675373