#alt(cm),OCOH+(cm-3)
8133565.28,0.000104802
8352657.61,0.000141254
8527805.72,0.000186368
8659289.07,0.000221027
8790562.82,0.000279445
8833668.68,0.000368695
8921068.08,0.000446684
9052202.1,0.000589346
9226861.17,0.000902725
9269967.02,0.001191039
9312863.29,0.001675229
9399773.64,0.002356255
9442600.04,0.003385553
9529230.94,0.005185789
9572127.21,0.007293953
9615023.47,0.010259144
9657710.15,0.015382858
9744620.5,0.021636409
9787237.31,0.033141363
9829993.85,0.048644869
9916974.07,0.066977036
9959940.2,0.092217812
10002766.6,0.132501936
10089816.68,0.178587827
10176657.17,0.25660154
10307511.74,0.368694506
10526045.16,0.589346041
10788872.12,0.865041687
11139936.84,1.191038845
11491281.02,1.505836354
12107268.61,1.605297597
12547060.14,1.785878266
12854250.5,2.356254637
13161440.87,3.108798635
13512575.45,4.190079106
14127864.41,5.528312603
14875265.48,7.14009029
15667239.55,7.775722279
16415269.39,8.289312615
16943368.54,8.46794011
17867804.05,8.11445319
18571889.67,8.46794011
19408087.41,8.650416872
20200340.93,8.650416872
20992594.46,8.650416872
21696680.08,9.027251779
22488514.42,10.25914365
23236334.67,11.65914401
23896196.62,12.97068651
24644296.33,13.53572372
25568731.84,12.97068651
26317250.73,11.91038845
27021895.26,10.4802193
27858372.46,9.830884474
28914989.94,9.027251779
30147733.62,8.11445319
31424281.8,7.775722279
32877026.05,7.14009029
34197588.31,6.842033326
35297940.42,6.842033326
36882726.92,6.28272641
37851036.78,6.28272641
38731458.19,6.020459367
39963922.42,5.893460409