#alt(cm),OH+(cm-3)
12500000,0.000321255
12600000,0.000444375
12800000,0.000631526
13000000,0.000973326
13300000,0.001460103
13400000,0.002075035
13800000,0.003029765
14000000,0.004545004
14400000,0.006459161
14600000,0.009431042
15000000,0.013402986
15200000,0.01904774
15600000,0.027069817
16000000,0.039524728
16400000,0.064301215
16900000,0.107475916
17400000,0.170184407
17800000,0.255296588
18200000,0.393470283
18600000,0.623046625
19000000,0.934643075
19300000,1.364675373
19700000,1.992566919
20100000,3.071000191
20500000,4.606860781
20900000,6.910831954
21500000,11.24295898
22200000,15.55180571
23200000,18.79198265
24100000,18.79198265
25200000,16.41588072
26400000,12.87031099
27400000,10.36705917
28100000,8.579535913
28900000,7.100223435
29800000,5.719243034
30700000,4.996088663
31700000,4.862822909
32800000,4.606860781
33900000,4.364371611
34900000,4.134646229
35800000,4.134646229
36800000,3.917012795
37700000,3.917012795
38700000,3.812530329
40000000,3.611851959