#alt[cm],e[cm-3]
13000000,157316.2273
13364864.86,140961.5602
13729729.73,124878.1212
14094594.59,110422.5279
14459459.46,98537.58072
14824324.32,89000.49063
15189189.19,79667.39968
15554054.05,70597.26048
15918918.92,63264.02134
16283783.78,56565.81165
16648648.65,51393.21933
17013513.51,46805.97291
17378378.38,42719.93117
17743243.24,39385.22228
18108108.11,36196.25422
18472972.97,33444.66577
18837837.84,30755.65276
19202702.7,28513.11138
19567567.57,26339.49376
19932432.43,24598.31291
20297297.3,22857.13207
20662162.16,20232.79584
21027027.03,17212.05752
21391891.89,14557.74812
21756756.76,12717.1065
22121621.62,11041.3232
22486486.49,9944.839693
22851351.35,9465.593059
23216216.22,8986.346426
23581081.08,8175.826298
23945945.95,7247.017405
24310810.81,6074.569219
24675675.68,5216.878571
25040540.54,4801.098356
25405405.41,4512.259072
25770270.27,4337.555743
26135135.14,4175.315836
26500000,3964.094844
26864864.86,3769.81187
27229729.73,3583.839607
27594594.59,3568.044996
27959459.46,3549.809978
28324324.32,3521.649667
28689189.19,3413.881512
29054054.05,3290.368159
29418918.92,3069.430503
29783783.78,2758.59583
30148648.65,2482.707057
30513513.51,2255.94044
30878378.38,2126.202931
31243243.24,2085.657257
31608108.11,2100.304005
31972972.97,2123.784438
32337837.84,2185.549337
32702702.7,2247.314235
33067567.57,2230.715674
33432432.43,2192.241765
33797297.3,2032.995441
34162162.16,1876.370058
34527027.03,1780.915864
34891891.89,1700.567837
35256756.76,1686.854518
35621621.62,1656.077491
35986486.49,1622.006772
36351351.35,1590.883407
36716216.22,1575.274662
37081081.08,1573.642933
37445945.95,1576.505111
37810810.81,1580.839731
38175675.68,1592.497215
38540540.54,1607.426716
38905405.41,1488.617224
39270270.27,1368.894445
39635135.14,1277.504319
40000000,1186.114192